Crate Type,Wager Volume (SOL),Item,Amount,Probability
Daily Crate - Tier 1,0.1,Points,100,90.0000%
Daily Crate - Tier 1,0.1,Points,500,4.8180%
Daily Crate - Tier 1,0.1,Points,2000,3.0098%
Daily Crate - Tier 1,0.1,Points,5000,0.9375%
Daily Crate - Tier 1,0.1,Points,8000,0.4600%
Daily Crate - Tier 1,0.1,Points,10000,0.3212%
Daily Crate - Tier 1,0.1,Points,20000,0.2500%
Daily Crate - Tier 1,0.1,Points,40000,0.1150%
Daily Crate - Tier 1,0.1,Points,100000,0.0625%
Daily Crate - Tier 1,0.1,SOL,0.25,0.0188%
Daily Crate - Tier 1,0.1,SOL,1,0.005750%
Daily Crate - Tier 1,0.1,SOL,5,0.001450%
Daily Crate - Tier 1,0.1,SOL,20,0.0000500%
Daily Crate - Tier 2,0.2,Points,100,80.0000%
Daily Crate - Tier 2,0.2,Points,500,9.6360%
Daily Crate - Tier 2,0.2,Points,2000,6.0196%
Daily Crate - Tier 2,0.2,Points,5000,1.8750%
Daily Crate - Tier 2,0.2,Points,8000,0.9200%
Daily Crate - Tier 2,0.2,Points,10000,0.6424%
Daily Crate - Tier 2,0.2,Points,20000,0.5000%
Daily Crate - Tier 2,0.2,Points,40000,0.2300%
Daily Crate - Tier 2,0.2,Points,100000,0.1250%
Daily Crate - Tier 2,0.2,SOL,0.25,0.0375%
Daily Crate - Tier 2,0.2,SOL,1,0.0115%
Daily Crate - Tier 2,0.2,SOL,5,0.0029%
Daily Crate - Tier 2,0.2,SOL,20,0.0001%
Daily Crate - Tier 3,0.5,Points,100,50.0000%
Daily Crate - Tier 3,0.5,Points,500,24.0900%
Daily Crate - Tier 3,0.5,Points,2000,15.0490%
Daily Crate - Tier 3,0.5,Points,5000,4.6875%
Daily Crate - Tier 3,0.5,Points,8000,2.3000%
Daily Crate - Tier 3,0.5,Points,10000,1.6060%
Daily Crate - Tier 3,0.5,Points,20000,1.2500%
Daily Crate - Tier 3,0.5,Points,40000,0.5750%
Daily Crate - Tier 3,0.5,Points,100000,0.3125%
Daily Crate - Tier 3,0.5,SOL,0.25,0.0938%
Daily Crate - Tier 3,0.5,SOL,1,0.0288%
Daily Crate - Tier 3,0.5,SOL,5,0.0073%
Daily Crate - Tier 3,0.5,SOL,20,0.0003%
